
74,74,41.0,25.0,-1.0,-1.0,0,0,0,0,148.0,124.0,-1.0,-1.0,104.0,80.0,-1.0,-1.0,,74,LEFT,,74,-1.0
75,75,17.0,-1.0,-1.0,17.0,0,0,0,0,136.0,-1.0,-1.0,136.0,92.0,-1.0,-1.0,92.0,,75,UP,,75,-1.0
76,76,-1.0,-1.0,-1.0,-1.0,0,0,0,0,108.0,-1.0,-1.0,108.0,64.0,-1.0,-1.0,64.0,,76,UP,,76,0.0
77,77,-1.0,-1.0,-1.0,-1.0,0,0,0,0,136.0,136.0,-1.0,-1.0,92.0,92.0,-1.0,-1.0,,77,LEFT,,77,0.0
78,78,54.0,-1.0,-1.0,54.0,0,0,0,0,136.0,-1.0,-1.0,136.0,92.0,-1.0,-1.0,92.0,,78,LEFT,,78,0.0
79,79,54.0,-1.0,54.0,-1.0,0,0,0,0,124.0,-1.0,124.0,-1.0,80.0,-1.0,80.0,-1.0,,79,DOWN,,79,0.0
80,80,50.0,-1.0,54.0,50.0,0,0,0,0,112.0,-1.0,112.0,112.0,68.0,-1.0,68.0,68.0,,80,LEFT,,80,0.0
81,81,30.0,-1.0,-1.0,30.0,0,0,0,0,100.0,-1.0,-1.0,100.0,56.0,-1.0,-1.0,56.0,,81,RIGHT,,81,0.0
82,82,50.0,10.0,-1.0,10.0,0,0,0,0,112.0,136.0,-1.0,112.0,68.0,92.0,-1.0,68.0,,82,LEFT,,82,0.0
83,83,14.0,-1.0,-1.0,14.0,0,0,0,0,100.0,-1.0,-1.0,100.0,56.0,-1.0,-1.0,56.0,,83,RIGHT,,83,0.0
84,84,14.0,14.0,-1.0,14.0,0,0,0,0,112.0,136.0,-1.0,112.0,68.0,92.0,-1.0,68.0,,84,LEFT,,84,0.0
85,85,66.0,-1.0,-1.0,38.0,0,0,0,0,100.0,-1.0,-1.0,100.0,56.0,-1.0,-1.0,56.0,,85,LEFT,,85,0.0
86,86,70.0,38.0,-1.0,38.0,0,0,0,0,112.0,136.0,-1.0,112.0,68.0,92.0,-1.0,68.0,,86,DOWN,,86,0.0
87,87,-1.0,54.0,-1.0,54.0,0,0,0,0,-1.0,108.0,-1.0,108.0,-1.0,64.0,-1.0,64.0,,87,UP,,87,0.0
88,88,-1.0,-1.0,-1.0,-1.0,0,0,0,0,48.0,72.0,-1.0,-1.0,4.0,4.0,-1.0,-1.0,,88,RIGHT,,88,0.2
89,89,-1.0,-1.0,-1.0,-1.0,0,0,0,0,-1.0,72.0,-1.0,60.0,-1.0,4.0,-1.0,4.0,,89,DOWN,,89,0.30000000000000004
90,90,119.0,121.0,-1.0,-1.0,0,0,0,0,40.0,76.0,-1.0,-1.0,4.0,4.0,-1.0,-1.0,,90,DOWN,,90,0.30000000000000004
91,91,-1.0,128.0,128.0,-1.0,0,0,0,0,-1.0,40.0,40.0,-1.0,-1.0,4.0,4.0,-1.0,,91,UP,,91,0.2
92,92,77.0,80.0,-1.0,-1.0,0,0,0,0,72.0,60.0,-1.0,-1.0,28.0,4.0,-1.0,-1.0,,92,UP,,92,0.1
93,93,-1.0,56.0,56.0,-1.0,0,0,0,0,-1.0,48.0,48.0,-1.0,-1.0,4.0,4.0,-1.0,,93,DOWN,,93,0.1
94,94,-1.0,32.0,-1.0,32.0,0,0,0,0,-1.0,36.0,-1.0,36.0,-1.0,4.0,-1.0,4.0,,94,DOWN,,94,-0.8
95,95,40.0,40.0,-1.0,-1.0,0,0,0,0,60.0,28.0,-1.0,-1.0,4.0,4.0,-1.0,-1.0,,95,UP,,95,-0.9
96,96,-1.0,-1.0,-1.0,-1.0,0,0,0,0,72.0,-1.0,-1.0,60.0,28.0,-1.0,-1.0,16.0,,96,UP,,96,0.0
97,97,-1.0,-1.0,-1.0,-1.0,0,0,0,0,60.0,-1.0,-1.0,60.0,16.0,-1.0,-1.0,16.0,,97,RIGHT,,97,0.0
98,98,-1.0,-1.0,-1.0,-1.0,0,0,0,0,48.0,-1.0,48.0,-1.0,4.0,-1.0,4.0,-1.0,,98,DOWN,,98,0.1
99,99,-1.0,-1.0,-1.0,-1.0,0,0,0,0,36.0,-1.0,-1.0,36.0,4.0,-1.0,-1.0,4.0,,99,UP,,99,0.1
100,100,81.0,-1.0,81.0,-1.0,0,0,0,0,24.0,-1.0,24.0,-1.0,4.0,-1.0,4.0,-1.0,,100,UP,,100,0.1
101,101,-1.0,57.0,57.0,-1.0,0,0,0,0,-1.0,36.0,80.0,-1.0,-1.0,4.0,4.0,-1.0,,101,LEFT,,101,-1.0
102,102,33.0,33.0,33.0,-1.0,0,0,0,0,48.0,48.0,68.0,-1.0,4.0,4.0,4.0,-1.0,,102,RIGHT,,102,-0.9000000000000001
103,103,-1.0,-1.0,-1.0,-1.0,0,0,0,0,60.0,28.0,-1.0,-1.0,4.0,24.0,-1.0,-1.0,,103,DOWN,,103,0.1
104,104,77.0,-1.0,77.0,-1.0,0,0,0,0,92.0,-1.0,92.0,-1.0,4.0,-1.0,4.0,-1.0,,104,RIGHT,,104,0.0
105,105,77.0,-1.0,-1.0,77.0,0,0,0,0,96.0,-1.0,-1.0,96.0,16.0,-1.0,-1.0,16.0,,105,DOWN,,105,0.0
106,106,77.0,77.0,-1.0,-1.0,0,0,0,0,88.0,120.0,-1.0,-1.0,4.0,40.0,-1.0,-1.0,,106,RIGHT,,106,0.0
107,107,29.0,-1.0,29.0,-1.0,0,0,0,0,92.0,-1.0,92.0,-1.0,4.0,-1.0,4.0,-1.0,,107,LEFT,,107,0.0
108,108,67.0,-1.0,-1.0,43.0,0,0,0,0,96.0,-1.0,-1.0,96.0,16.0,-1.0,-1.0,16.0,,108,LEFT,,108,0.0
109,109,67.0,-1.0,67.0,-1.0,0,0,0,0,84.0,-1.0,84.0,-1.0,4.0,-1.0,4.0,-1.0,,109,DOWN,,109,0.0
110,110,78.0,-1.0,-1.0,78.0,0,0,0,0,72.0,-1.0,-1.0,72.0,36.0,-1.0,-1.0,16.0,,110,RIGHT,,110,0.0
111,111,78.0,-1.0,-1.0,78.0,0,0,0,0,60.0,-1.0,-1.0,60.0,24.0,-1.0,-1.0,24.0,,111,RIGHT,,111,0.0
112,112,61.0,-1.0,61.0,-1.0,0,0,0,0,48.0,-1.0,48.0,-1.0,12.0,-1.0,12.0,-1.0,,112,DOWN,,112,0.1
113,113,78.0,-1.0,-1.0,61.0,0,0,0,0,36.0,-1.0,-1.0,36.0,4.0,-1.0,-1.0,4.0,,113,DOWN,,113,0.1
114,114,78.0,78.0,-1.0,-1.0,0,0,0,0,28.0,60.0,-1.0,-1.0,4.0,4.0,-1.0,-1.0,,114,DOWN,,114,0.0
115,115,-1.0,102.0,102.0,-1.0,0,0,0,0,-1.0,96.0,40.0,-1.0,-1.0,40.0,16.0,-1.0,,115,RIGHT,,115,0.0
116,116,-1.0,90.0,90.0,-1.0,0,0,0,0,-1.0,108.0,76.0,-1.0,-1.0,4.0,4.0,-1.0,,116,DOWN,,116,0.0
117,117,-1.0,66.0,66.0,-1.0,0,0,0,0,-1.0,120.0,88.0,-1.0,-1.0,40.0,40.0,-1.0,,117,UP,,117,0.0
118,118,54.0,18.0,-1.0,-1.0,0,0,0,0,96.0,104.0,-1.0,-1.0,16.0,16.0,-1.0,-1.0,,118,RIGHT,,118,0.0
119,119,-1.0,6.0,6.0,-1.0,0,0,0,0,-1.0,92.0,92.0,-1.0,-1.0,4.0,4.0,-1.0,,119,DOWN,,119,0.0
120,120,6.0,-1.0,6.0,-1.0,0,0,0,0,88.0,-1.0,88.0,-1.0,40.0,-1.0,40.0,-1.0,,120,LEFT,,120,0.0
121,121,6.0,-1.0,6.0,-1.0,0,0,0,0,76.0,-1.0,76.0,-1.0,52.0,-1.0,52.0,-1.0,,121,RIGHT,,121,0.0
122,122,6.0,-1.0,6.0,-1.0,0,0,0,0,40.0,-1.0,40.0,-1.0,16.0,-1.0,16.0,-1.0,,122,UP,,122,0.0
123,123,58.0,59.0,-1.0,-1.0,0,0,0,0,60.0,76.0,-1.0,-1.0,24.0,28.0,-1.0,-1.0,,123,LEFT,,123,0.0
124,124,34.0,-1.0,34.0,-1.0,0,0,0,0,48.0,-1.0,48.0,-1.0,12.0,-1.0,12.0,-1.0,,124,LEFT,,124,0.0
125,125,10.0,-1.0,-1.0,10.0,0,0,0,0,36.0,-1.0,-1.0,36.0,16.0,-1.0,-1.0,16.0,,125,LEFT,,125,0.0
126,126,-1.0,-1.0,-1.0,-1.0,0,0,0,0,36.0,-1.0,-1.0,36.0,4.0,-1.0,-1.0,4.0,,126,DOWN,,126,0.30000000000000004
127,127,-1.0,-1.0,-1.0,-1.0,0,0,0,0,64.0,24.0,-1.0,-1.0,4.0,4.0,-1.0,-1.0,,127,UP,,127,0.30000000000000004
128,128,120.0,-1.0,120.0,-1.0,0,0,0,0,88.0,-1.0,88.0,-1.0,4.0,-1.0,4.0,-1.0,,128,DOWN,,128,0.2
129,129,120.0,-1.0,120.0,-1.0,0,0,0,0,76.0,-1.0,76.0,-1.0,4.0,-1.0,4.0,-1.0,,129,UP,,129,0.2
130,130,112.0,88.0,-1.0,-1.0,0,0,0,0,72.0,112.0,-1.0,-1.0,12.0,4.0,-1.0,-1.0,,130,RIGHT,,130,0.1
131,131,-1.0,76.0,76.0,-1.0,0,0,0,0,-1.0,116.0,84.0,-1.0,-1.0,4.0,4.0,-1.0,,131,LEFT,,131,0.1
132,132,-1.0,76.0,-1.0,76.0,0,0,0,0,-1.0,104.0,-1.0,96.0,-1.0,4.0,-1.0,4.0,,132,LEFT,,132,0.0
133,133,-1.0,76.0,76.0,-1.0,0,0,0,0,-1.0,92.0,92.0,-1.0,-1.0,16.0,16.0,-1.0,,133,DOWN,,133,0.0
134,134,92.0,-1.0,92.0,-1.0,0,0,0,0,88.0,-1.0,88.0,-1.0,4.0,-1.0,4.0,-1.0,,134,DOWN,,134,0.1
135,135,127.0,-1.0,116.0,-1.0,0,0,0,0,76.0,-1.0,76.0,-1.0,4.0,-1.0,4.0,-1.0,,135,RIGHT,,135,0.2
136,136,127.0,-1.0,127.0,-1.0,0,0,0,0,40.0,-1.0,40.0,-1.0,4.0,-1.0,4.0,-1.0,,136,LEFT,,136,0.30000000000000004
137,137,127.0,-1.0,127.0,-1.0,0,0,0,0,28.0,-1.0,28.0,-1.0,4.0,-1.0,4.0,-1.0,,137,RIGHT,,137,0.30000000000000004
138,138,-1.0,104.0,104.0,-1.0,0,175,175,0,-1.0,92.0,92.0,-1.0,-1.0,4.0,4.0,-1.0,,138,UP,,138,0.1
139,139,-1.0,87.0,87.0,-1.0,0,163,163,0,-1.0,80.0,80.0,-1.0,-1.0,4.0,4.0,-1.0,,139,UP,,139,0.1
140,140,69.0,69.0,69.0,-1.0,151,151,151,0,68.0,68.0,68.0,-1.0,4.0,4.0,4.0,-1.0,,140,DOWN,,140,0.1
141,141,-1.0,47.0,47.0,-1.0,0,127,127,0,-1.0,44.0,44.0,-1.0,-1.0,4.0,4.0,-1.0,,141,RIGHT,,141,0.0
142,142,-1.0,21.0,21.0,42.0,0,103,103,103,-1.0,68.0,68.0,68.0,-1.0,12.0,12.0,28.0,,142,DOWN,,142,0.0
143,143,27.0,-1.0,-1.0,60.0,91,0,0,91,80.0,-1.0,-1.0,104.0,24.0,-1.0,-1.0,48.0,,143,LEFT,,143,0.0
144,144,75.0,-1.0,75.0,75.0,55,0,55,55,68.0,-1.0,68.0,93.0,16.0,-1.0,25.0,16.0,,144,RIGHT,,144,0.0
145,145,64.0,-1.0,64.0,64.0,30,0,30,30,68.0,-1.0,68.0,93.0,4.0,-1.0,4.0,4.0,,145,LEFT,,145,-1.0
